Title,Author,ReleaseDate,Number_ratings,Rating,Price
Python for Beginners: 2 Books in 1,Programming Languages Academy,02-18-20,29 ratings,3.5 out of 5 stars,$19.95
Python Coding and Programming,Michael Learn,11-15-19,61 ratings,5 out of 5 stars,$14.95
Machine Learning: 4 Books in 1,Samuel Hack,04-06-20,67 ratings,4 out of 5 stars,$24.95
Python for Beginners,Clive Campbell,09-20-19,27 ratings,5 out of 5 stars,$14.95
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For Intermediates, Arduino For Intermediates Learn Any Computer Language In One Day Step by Step (#2022 Version)",Steve Tudor,07-28-20,20 ratings,3.5 out of 5 stars,$29.95
Deep Learning with Python,Francois Chollet,09-11-18,50 ratings,4.5 out of 5 stars,$19.95
Computer Programming: The Bible,CyberPunk Architects,01-03-19,173 ratings,4.5 out of 5 stars,$14.95
Learn Python Programming,Michael Learn,11-19-19,79 ratings,4.5 out of 5 stars,$14.95
Python - The Bible: 3 Manuscripts in 1 Book,Maurice J. Thompson,11-02-19,3 ratings,4.5 out of 5 stars,$24.95
Algorithms to Live By,Brian Christian,04-19-16,"16,721 ratings",4.5 out of 5 stars,$25.99
Classic Computer Science Problems in Python,David Kopec,08-12-19,6 ratings,4 out of 5 stars,$19.95
Python Workout,Reuven M. Lerner,02-18-21,Not rated yet,Not rated yet,$19.95
Machine Learning: 4 Books in 1,Andrew Park,03-24-20,84 ratings,5 out of 5 stars,$24.95
Python Crash Course,Erick Myers,09-20-19,30 ratings,4 out of 5 stars,$24.95
Deep Learning with Python (Second Edition),Francois Chollet,02-01-22,7 ratings,4.5 out of 5 stars,$24.95
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition",David Thomas,12-26-19,"1,283 ratings",5 out of 5 stars,$19.95
The Master Algorithm,Pedro Domingos,09-22-15,"1,645 ratings",4.5 out of 5 stars,$29.99
Learn Python Quickly,Code Quickly,05-07-20,27 ratings,5 out of 5 stars,$19.95
Python Programming,Lewis Taylor,10-03-19,73 ratings,5 out of 5 stars,$14.95
Python for Beginners,Timothy C. Needham,02-02-19,19 ratings,5 out of 5 stars,$14.95
"Natural Language Processing in Action: Understanding, Analyzing, and Generating Text with Python",Hobson Lane,09-02-19,6 ratings,4 out of 5 stars,$24.95
Black Hat Python Programming: The Insider Guide to Black Hat Python Programming Tactics,Richard Ozer,04-05-18,9 ratings,4 out of 5 stars,$6.95
Python Advanced Programming,Marcus Richards,02-04-20,5 ratings,3 out of 5 stars,$19.95
Leaving the Rat Race with Python,Christian Mayer,03-03-21,4 ratings,5 out of 5 stars,$14.95
Python Machine Learning,Samuel Hack,10-31-19,67 ratings,5 out of 5 stars,$14.95
Python for Beginners,Denny Novikov,08-30-19,25 ratings,5 out of 5 stars,$19.95
Remove special characters Python,Zach Webber,12-26-18,Not rated yet,Not rated yet,$19.95
Coding Languages for Absolute Beginners: 6 Books in 1,Tony Hacking,01-23-20,73 ratings,4 out of 5 stars,$14.95
Python Data Science,CyberPunk Architects,01-03-19,56 ratings,5 out of 5 stars,$14.95
Talk Python To Me,Gary Gold,07-01-19,1 rating,5 out of 5 stars,$24.95
Computer Programming for Beginners,Andy Vickler,10-08-21,131 ratings,5 out of 5 stars,$24.95
"Python Handbook Vol 4, 5 Manuscripts in 1",Robert Matthew,07-30-21,44 ratings,5 out of 5 stars,$6.95
Python: 3 Books in 1,Adesh Silva,10-03-19,1 rating,5 out of 5 stars,$14.95
Bible of Python Programming,Samuel Hack,09-24-19,17 ratings,5 out of 5 stars,$14.95
Computer Programming: The Doctrine: An Introduction to the Language of Computer Programming,Robert C. Matthews,04-16-21,62 ratings,5 out of 5 stars,$19.95
Learning Python,C.P.A. Inc,02-28-20,84 ratings,5 out of 5 stars,$19.95
Programación con Python [Python Programming],Clive Campbell,10-02-20,26 ratings,5 out of 5 stars,$24.95
Programación con Python [Python Programming],Clive Campbell,10-02-20,26 ratings,5 out of 5 stars,$24.95
Programación con Python [Python Programming],Clive Campbell,10-02-20,26 ratings,5 out of 5 stars,$24.95
Programación con Python [Python Programming],Clive Campbell,10-02-20,26 ratings,5 out of 5 stars,$24.95
Talk Python To Me,Andrew Park,03-23-20,Not rated yet,Not rated yet,$14.95
Python for Data Analysis,Dane Hillard,03-16-21,18 ratings,4.5 out of 5 stars,$19.95
Python Community News,John Cleese,10-31-06,Not rated yet,Not rated yet,$8.26
Practices of the Python Pro,Alex Campbell,07-14-22,1 rating,5 out of 5 stars,$6.95
The Real Python Podcast,Zach Webber,06-11-18,2 ratings,5 out of 5 stars,$6.95
TrueNorth: The Python People Podcast,Eli Stevens,06-24-21,Not rated yet,Not rated yet,$24.95
Monty Python's Flying Circus,James Herron,06-06-22,160 ratings,4.5 out of 5 stars,$14.95
Python ML,Christopher Wilkinson,12-05-19,Not rated yet,Not rated yet,$19.95
Python,Santos Ozoemena,10-14-21,47 ratings,5 out of 5 stars,$14.95
Deep Learning with PyTorch,Oliver Theobald,01-13-22,Not rated yet,Not rated yet,$14.95
Machine Learning,L.E. Scott,01-13-20,1 rating,1 out of 5 stars,$14.95
Coding with Python,Eric Tyson MBA,03-12-19,25 ratings,5 out of 5 stars,$20.99
Python for Beginners,Ian Batantu,06-01-21,15 ratings,4.5 out of 5 stars,$6.95
Machine Learning for Absolute Beginners,Denny Novikov,04-10-20,Not rated yet,Not rated yet,$24.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Machine Learning with Python: Principles of Machine Learning,White Belt Mastery,12-02-20,11 ratings,4.5 out of 5 stars,$19.95
Aprende a Programar en Python Para Principiantes [Learn to Program in Python for Beginners],Flynn Fisher,01-12-21,Not rated yet,Not rated yet,$11.19
Python,Alice Deeklean,12-21-21,Not rated yet,Not rated yet,$14.95
Always Look on the Bright Side of Life,Eric Idle,10-02-18,"1,995 ratings",4.5 out of 5 stars,$28.00
Python Book 2021 - Python Programming for Beginners!,Magnus D'Jango,09-14-21,15 ratings,5 out of 5 stars,$3.95
Python for Data Analytics: A Beginners Guide for Learning Python Data Analytics from A-Z,Alex Root,10-03-19,24 ratings,5 out of 5 stars,$19.95
Python for Beginners,Gary Gold,05-28-19,36 ratings,5 out of 5 stars,$14.95
Python: Python for Data Science and Machine Learning,Andy Vickler,10-08-21,4 ratings,5 out of 5 stars,$19.95
Coding for Absolute Beginners and Cybersecurity: 5 Books in 1,Alan Grid,07-29-21,32 ratings,5 out of 5 stars,$24.95
Math for Programmers,Paul Orland,05-05-21,3 ratings,3.5 out of 5 stars,$24.95
Grokking Machine Learning,Luis Serrano,08-10-22,Not rated yet,Not rated yet,$24.95
Python: The Ultimate Beginners Guide to Learn and Understand Python Programming,Zach Webber,04-04-18,52 ratings,5 out of 5 stars,$6.95
Aprendizaje automático con Python [Machine Learning with Python],Paige Jacobs,07-11-19,14 ratings,4.5 out of 5 stars,$19.95
Python Data Science,Christopher Wilkinson,12-05-19,24 ratings,5 out of 5 stars,$19.95
PYTHON_PODCAST_BR,Bob Mather,01-02-20,Not rated yet,Not rated yet,$14.95
Basic Python in Finance,Julian James McKinnon,11-19-20,Not rated yet,Not rated yet,$29.95
Python Bytes,Oliver Theobald,02-02-22,Not rated yet,Not rated yet,$14.95
Computer Programming Crash Course: 7 Books in 1,William Gray,01-15-20,1 rating,2 out of 5 stars,$14.95
Computer Programming Crash Course: 7 Books in 1,William Gray,01-15-20,1 rating,2 out of 5 stars,$14.95
Computer Programming Crash Course: 7 Books in 1,William Gray,01-15-20,1 rating,2 out of 5 stars,$14.95
Computer Programming Crash Course: 7 Books in 1,William Gray,01-15-20,1 rating,2 out of 5 stars,$14.95
C++ and Python Programming: 2 Manuscript Bundle,Isaac D. Cody,02-15-17,17 ratings,4 out of 5 stars,$14.95
Programacion con Python: Guía Completa para Principiantes [Programming with Python: Complete Guide for Beginners],Alexander Cane,04-06-20,Not rated yet,Not rated yet,$14.95
coding with prishir aLL ABOUT PYTHON,Robert C. Matthews,02-01-21,Not rated yet,Not rated yet,$24.95
Coding in Python,Alex Campbell,07-25-22,15 ratings,4.5 out of 5 stars,$19.95
coding with prishir - aLL ABOUT PYTHON,Michael Bonacina,06-17-19,Not rated yet,Not rated yet,$19.95
Python Guide,Andy Vickler,10-25-21,Not rated yet,Not rated yet,$14.95
Morelia Python Radio,Michael Palin,09-10-07,Not rated yet,Not rated yet,$19.93
Python 3: Programmieren für Einsteiger: Der leichte Weg zum Python-Experten [Python 3: Programming for Beginners: The Easy Way to the Python Expert],L.E. Scott,03-18-20,Not rated yet,Not rated yet,$14.95
Python,Cyberpunk University,02-15-17,3 ratings,5 out of 5 stars,$6.95
Diaries 1969-1979,Ryan Turner,12-27-18,248 ratings,4.5 out of 5 stars,$19.95
Learn Python 3,Michael Palin,02-01-05,6 ratings,5 out of 5 stars,$14.38
Python,Michael Palin,08-11-22,3 ratings,3 out of 5 stars,$32.71
Python Programming: 3 Books in 1,Alexey Grigorev,05-05-22,53 ratings,4 out of 5 stars,$19.95
Pole to Pole,Computer Programming Academy,05-15-20,160 ratings,4.5 out of 5 stars,$19.95
The Python Years,John Cleese,11-10-16,3 ratings,4.5 out of 5 stars,$26.17
Machine Learning Bookcamp,Marcus Richards,03-16-20,Not rated yet,Not rated yet,$19.95
Machine Learning Bookcamp,Marcus Richards,03-16-20,Not rated yet,Not rated yet,$19.95
Machine Learning Bookcamp,Marcus Richards,03-16-20,Not rated yet,Not rated yet,$19.95
Machine Learning Bookcamp,Marcus Richards,03-16-20,Not rated yet,Not rated yet,$19.95
Machine Learning Bookcamp,Marcus Richards,03-16-20,Not rated yet,Not rated yet,$19.95
Dance of the Reptiles,Carl Hiaasen,01-28-14,157 ratings,3.5 out of 5 stars,$31.95
"Python: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in Python Programming",Zach Webber,11-26-18,64 ratings,5 out of 5 stars,$14.95
Javascript for Beginners,Matthew Python,12-29-20,1 rating,1 out of 5 stars,$14.95
Programación con Python [Python Programming],Robert C. Matthews,04-16-21,25 ratings,5 out of 5 stars,$19.95
The All In One Computer Programming Bible,Cyber Punk Architects,08-06-18,73 ratings,4.5 out of 5 stars,$19.95
The Best Python Programming Step-by-Step Beginners Guide,Chris Williamson,02-19-21,26 ratings,5 out of 5 stars,$14.95
Python: 21 Sample Codes and Advance Crash Course Guide in Python Programming,Zach Webber,10-11-18,70 ratings,5 out of 5 stars,$6.95
"C#: The Practical Intermediates Guide To Increase Your C# Programming And Coding Abilities Using Effective Computer Languages Skills (Python, Java, Arduino, SQL, C++)",Steve Tudor,09-15-20,40 ratings,5 out of 5 stars,$14.95
Python Crash Course: A Complete Beginner's Guide to Learn Python and Coding Quickly,Mark Matthes,08-06-21,Not rated yet,Not rated yet,$19.95
Machine Learning,Ethem Mining,07-30-20,3 ratings,4.5 out of 5 stars,$24.95
Programación con Python [Python Programming],Robert C. Matthews,05-12-21,1 rating,1 out of 5 stars,$19.95
Introduction to Machine Learning with Python,Deborah Oliver,03-04-21,Not rated yet,Not rated yet,$14.95
Python,Charlie Masterson,01-30-17,3 ratings,4 out of 5 stars,$6.95
Python Programming for Kids,Simon Weber,07-16-19,15 ratings,4.5 out of 5 stars,$19.95
Computer Programming Languages for Beginners,Adesh Silva,10-18-19,52 ratings,4.5 out of 5 stars,$14.95
Python Programming for Beginners,Elite Tech Academy,03-22-18,6 ratings,4.5 out of 5 stars,$14.95
Python Programming for Beginners,Jason Cannon,03-18-20,1 rating,5 out of 5 stars,$14.95
"Python, Hacking & Advanced Hacking: 3 Books in 1: The Blueprint",CyberPunk Architects,05-25-18,26 ratings,4.5 out of 5 stars,$14.95
Python 3 Programming,Timothy C. Needham,12-25-18,2 ratings,3 out of 5 stars,$14.95
Python 3 for Beginners: The Best Manual Ever to Start to Programming with Python 3,Gary Gold,09-18-19,28 ratings,4.5 out of 5 stars,$6.95
Python Programming for Kids,Simon Weber,12-11-19,48 ratings,5 out of 5 stars,$19.95
Python Coding,Tony Coding,02-07-20,19 ratings,4 out of 5 stars,$14.95
Python Error Types,Erika Albert,04-28-22,Not rated yet,Not rated yet,$14.95
I Want It Now! The Veruka Salt Effect,Anthony Hack,09-18-20,Not rated yet,Not rated yet,$24.95
Programming for Beginners,Alexander Cane,05-27-20,Not rated yet,Not rated yet,$14.95
Aprendizaje Automatizado Con Python [Automated Learning with Python],Damon Parker,05-19-20,Not rated yet,Not rated yet,$19.95
Learn Python,Mr Ethan Williams,10-17-19,11 ratings,5 out of 5 stars,$19.95
Python for Data Science,Marcus Richards,03-16-20,13 ratings,4.5 out of 5 stars,$14.95
Python for Beginners,Marc Matthes,06-27-20,11 ratings,4 out of 5 stars,$19.95
Python,Computer Science Academy,06-08-20,Not rated yet,Not rated yet,$14.95
Python for Data Science,Gydo Van de Vries,11-07-19,29 ratings,5 out of 5 stars,$19.95
"Python Volume 1: Learn to Use Python for Data Analysis, Computer Programming and Artificial Intelligence",Gydo Van de Vries,11-15-19,Not rated yet,Not rated yet,$19.95
Python Volume 2,Zach Webber,12-26-18,10 ratings,5 out of 5 stars,$19.95
Coding Languages Halfway: 6 Books in 1,Melvin Doyle,12-17-19,43 ratings,5 out of 5 stars,$14.95
Machine Learning for Smart Learners,Chris Baker,10-02-19,Not rated yet,Not rated yet,$19.95
Artificial Intelligence,Oliver Tensor,08-26-19,12 ratings,4.5 out of 5 stars,$14.95
Artificial Intelligence Business Applications,Anthony Williams,10-17-17,2 ratings,4.5 out of 5 stars,$14.95
Deep Learning: 2 Manuscripts,David Park,03-26-20,50 ratings,5 out of 5 stars,$19.95
Machine Learning with Python,David Park,03-26-20,15 ratings,5 out of 5 stars,$19.95
Machine Learning with Python,David Park,03-26-20,15 ratings,5 out of 5 stars,$19.95
Python Machine Learning,tony f. charles,11-27-19,28 ratings,5 out of 5 stars,$14.95
Python for Data Analysis,Computer Science Academy,06-03-20,5 ratings,5 out of 5 stars,$14.95
Machine Learning: 2 Book in 1,Gabriel Baker,03-13-20,8 ratings,4 out of 5 stars,$19.95
Programming for Beginners: 6 Books in 1,Daniel Jones,12-08-17,17 ratings,4.5 out of 5 stars,$19.95
"The Quick Python Book, Second Edition",Naomi R. Ceder,12-07-18,5 ratings,3.5 out of 5 stars,$24.95
Convolutional Neural Networks In Python,Frank Millstein,03-27-18,23 ratings,4.5 out of 5 stars,$6.95
The Ultimate Python Programming Guide for Beginners to Intermediate,William Allen Newton,11-02-21,Not rated yet,Not rated yet,$19.95
Python Programming,Computer Science Academy,06-03-20,18 ratings,5 out of 5 stars,$19.95
"Tech Leaders in Action - Rails, Python, Java, Scala, Javascript, Nodejs ...",Matt Henderson,04-11-19,Not rated yet,Not rated yet,$14.95
"Machine Learning for Beginners 2019: The Ultimate Guide to Artificial Intelligence, Neural Networks, Predictive Modelling, and Python",Ramon Base,10-18-19,128 ratings,4.5 out of 5 stars,$14.95
Data Science from Scratch,John Slavio,07-16-18,4 ratings,2 out of 5 stars,$6.95
Python: A Beginners’ Guide to Python Programming to Automate the Boring Tasks and Learn Coding Fast,Jamila Jasper,01-02-18,6 ratings,4 out of 5 stars,$3.95
Count string in Python,Ronald Olsen,03-27-17,Not rated yet,Not rated yet,$6.95
Python,William Sullivan,07-12-18,17 ratings,3.5 out of 5 stars,$14.95
Python: Learn Python in a Day and Master It Well,Tony F. Charles,03-10-20,19 ratings,3 out of 5 stars,$14.95
Python Programming Illustrated for Beginners & Intermediates: The Future Is Here!,Steve Geddis,10-30-20,9 ratings,3.5 out of 5 stars,$19.95
Python for Data Science,Leonard Foster,10-15-19,Not rated yet,Not rated yet,$14.95
Python: 2 Books in 1,Matthew Sattler,12-18-19,14 ratings,5 out of 5 stars,$19.95
Python: 2 Books in 1,Matthew Sattler,12-18-19,14 ratings,5 out of 5 stars,$19.95
Python: 2 Books in 1,Matthew Sattler,12-18-19,14 ratings,5 out of 5 stars,$19.95
Sahara,Michael Palin,02-01-05,141 ratings,4 out of 5 stars,$15.17
Jun. Блокчейн и криптовалюты [WEB 3],Brian P. Cleary,04-29-21,Not rated yet,Not rated yet,$4.89
This Python Isn't a Snake,Joseph Mining,03-13-20,Not rated yet,Not rated yet,$14.95
Aprendizaje Automatizado con Python [Automated Learning with Python],Jamila Jasper,01-02-18,3 ratings,4 out of 5 stars,$3.95
Python,Hacking Studios,12-22-17,17 ratings,3.5 out of 5 stars,$14.95
Python: Cyber Security and Python Programming,L.E. Scott,01-08-20,1 rating,1 out of 5 stars,$14.95
Learn Python,Gary Gold,05-08-19,Not rated yet,Not rated yet,$6.95
Python Machine Learning for Beginner: How to Learn Digital Programming in 12 Hours,Andrew Park,03-25-20,38 ratings,5 out of 5 stars,$14.95
Python Machine Learning: A Complete Guide for Beginners on Machine Learning and Deep Learning,Anthony Williams,09-18-17,8 ratings,5 out of 5 stars,$6.95
Convolutional Neural Networks in Python,Andy Vickler,10-05-21,55 ratings,5 out of 5 stars,$14.95
Python: Python Basics for Beginners,Jeff Phoenix,03-09-20,4 ratings,5 out of 5 stars,$19.95
Machine Learning & Python for Machine Learning: 2 Books in 1,Steve Geddis,08-22-20,2 ratings,1 out of 5 stars,$14.95
Python Programming for Beginners,William Sullivan,08-28-18,5 ratings,5 out of 5 stars,$19.95
Python Programming & Machine Learning With Python: 2 Manuscripts in 1,Magnus D'Jango,12-20-21,11 ratings,3.5 out of 5 stars,$3.95
Python for Data Science,Steven Samelson,07-16-20,Not rated yet,Not rated yet,$19.95
Machine Learning with Python: The Absolute Guide for Beginner's and Faster Way to Learn Python Machine Learning,George Pretorius,05-28-20,1 rating,3 out of 5 stars,$14.95
Python,Sam Key,07-15-16,Not rated yet,Not rated yet,$3.95
Programming #2: Python Programming In A Day! & C Programming Success in a Day,Robert C. Matthews,12-22-20,1 rating,5 out of 5 stars,$14.95
Coding in Python,Maurice J. Thompson,01-31-19,25 ratings,4.5 out of 5 stars,$14.95
Coding in Python,Maurice J. Thompson,01-31-19,25 ratings,4.5 out of 5 stars,$14.95
Neural Networks for Beginners,Russel R. Russo,03-13-20,36 ratings,4.5 out of 5 stars,$14.95
Python,Jonathan S. Walker,08-31-17,2 ratings,5 out of 5 stars,$6.95
Python: Comprehensive Python Programming from the Ground Up,Keith Dvorjak,02-18-19,23 ratings,4.5 out of 5 stars,$14.95
Python Programming,Matthew Python,10-01-20,Not rated yet,Not rated yet,$19.95
Python,Charlie Masterson,04-14-17,1 rating,2 out of 5 stars,$6.95
Carpets & Coffee,Matthew Python,04-22-20,Not rated yet,Not rated yet,$14.95
Arduino Programming for Beginners,Mark Matthes,01-05-21,9 ratings,4.5 out of 5 stars,$19.95
Python for Beginners: 2 Books in 1,Russel R. Russo,05-10-21,Not rated yet,Not rated yet,$24.95
Computer Programming: Python - 3 Books in 1,Brayden Smith,05-25-20,Not rated yet,Not rated yet,$14.95
"Python Programming Crash Course: A Smarter and Faster Beginner’s Step by Step Guide to Learn Python Programming with Practical Exercises, Interview Questions, and Tips and Tricks",Mike R Valley,09-30-15,1 rating,5 out of 5 stars,$6.95
Python,Cooper Alvin,04-02-18,3 ratings,2.5 out of 5 stars,$6.95
Python,Anthony Williams,10-18-17,1 rating,4 out of 5 stars,$14.95
Machine Learning Python: 2 Manuscripts - Artificial Intelligence Python and Reinforcement Learning with Python,Willam Alvin Newton,07-23-19,31 ratings,4.5 out of 5 stars,$24.95
"Computer Programming: JavaScript, Python, HTML, SQL, CSS",Kevin Cooper,10-31-19,29 ratings,4 out of 5 stars,$14.95
Step-by-Step Beginners' Guide to Learn Programming,Anthony Williams,10-17-17,8 ratings,4 out of 5 stars,$6.95
Reinforcement Learning with Python: A Short Overview of Reinforcement Learning with Python,Gary Gold,08-04-20,7 ratings,3 out of 5 stars,$19.95
Python Handbook Vol. 5: The Best Collection on Python 3 and Python Crash Course Ever,Ronald Olsen,09-11-17,Not rated yet,Not rated yet,$19.95
Python Programming: 2-in-1 Ultimate Value Python Guide: Learn Python Series,Matt Harrison,01-28-15,32 ratings,4.5 out of 5 stars,$19.95
Beginning Python Programming: Learn Python Programming in 7 Days,Matthew Python,11-09-20,19 ratings,3 out of 5 stars,$19.95
Beginning Python Programming: Learn Python Programming in 7 Days,Matthew Python,11-09-20,19 ratings,3 out of 5 stars,$19.95
JAVA: The Practical Beginners Guide to Learn Java and Javascript in One Day,Steve Tudor,07-25-20,29 ratings,4.5 out of 5 stars,$14.95
Monty Python's Tunisian Holiday,"Kim ""Howard"" Johnson",12-23-08,47 ratings,3.5 out of 5 stars,$24.49
Python Programming,Computer Programming Academy,03-23-20,Not rated yet,Not rated yet,$19.95
Python Programming for Beginners,Julian James McKinnon,06-30-20,Not rated yet,Not rated yet,$14.95
"Python Programming: 4 Manuscripts ? Artificial Intelligence Python, Reinforcement Learning with Python, Text Analytics with Python, Convolutional Neural Networks in Python",Anthony Williams,10-26-17,46 ratings,4.5 out of 5 stars,$24.95
"Programming: 4 Manuscripts in 1 Book: Python for Beginners, Python 3 Guide, Learn Java, Excel 2016",Timothy C. Needham,11-01-19,Not rated yet,Not rated yet,$24.95
Python for Beginners,Josh Hugh Learning,01-28-20,Not rated yet,Not rated yet,$14.95
Python Programming,Robert Clarke,02-19-20,Not rated yet,Not rated yet,$19.95
Python for Beginners,Jason Knox,03-11-20,Not rated yet,Not rated yet,$14.95
Python Coding: 2 Books in 1,Stephen Ward,03-13-20,Not rated yet,Not rated yet,$19.95
Data Science Bookcamp,Leonard Apeltsin,01-28-22,Not rated yet,Not rated yet,$24.95
